country	region
Algeria	Northern_Africa
Egypt	Northern_Africa
Libya	Northern_Africa
Morocco	Northern_Africa
Sudan	Northern_Africa
Tunisia	Northern_Africa
Western_sahara	Northern_Africa
Burundi	Eastern_Africa
Comoros	Eastern_Africa
Djibouti	Eastern_Africa
Eritrea	Eastern_Africa
Ethiopia	Eastern_Africa
Kenya	Eastern_Africa
Madagascar	Eastern_Africa
Malawi	Eastern_Africa
Mauritius	Eastern_Africa
Mozambique	Eastern_Africa
Rwanda	Eastern_Africa
Seychelles	Eastern_Africa
Somalia	Eastern_Africa
Tanzania	Eastern_Africa
Uganda	Eastern_Africa
Zambia	Eastern_Africa
Zimbabwe	Eastern_Africa
Angola	Central_Africa
Cameroon	Central_Africa
Central_african_republic	Central_Africa
Chad	Central_Africa
Congo	Central_Africa
Democratic_republic_of_congo	Central_Africa
Equatorial_guinea	Central_Africa
Gabon	Central_Africa
Sao_tome_and_principe	Central_Africa
Benin	Western_Africa
Burkina_faso	Western_Africa
Cape_verde	Western_Africa
Gambia	Western_Africa
Ghana	Western_Africa
Guinea	Western_Africa
Guinea_bissau	Western_Africa
Ivory_coast	Western_Africa
Liberia	Western_Africa
Mali	Western_Africa
Mauritania	Western_Africa
Niger	Western_Africa
Nigeria	Western_Africa
Senegal	Western_Africa
Sierra_leone	Western_Africa
Togo	Western_Africa
Botswana	Southern_Africa
Eswatini	Southern_Africa
Lesotho	Southern_Africa
Namibia	Southern_Africa
South_africa	Southern_Africa
Denmark	Northern_Europe
Estonia	Northern_Europe
Finland	Northern_Europe
Iceland	Northern_Europe
Ireland	Northern_Europe
Latvia	Northern_Europe
Lithuania	Northern_Europe
Norway	Northern_Europe
Sweden	Northern_Europe
United_kingdom	Northern_Europe
Albania	Southern_Europe
Andorra	Southern_Europe
Bosnia_and_herzegovina	Southern_Europe
Croatia	Southern_Europe
Greece	Southern_Europe
Italy	Southern_Europe
Malta	Southern_Europe
Montenegro	Southern_Europe
North_macedonia	Southern_Europe
Portugal	Southern_Europe
San_marino	Southern_Europe
Serbia	Southern_Europe
Slovenia	Southern_Europe
Spain	Southern_Europe
Vatican_city	Southern_Europe
Belarus	Eastern_Europe
Bulgaria	Eastern_Europe
Czech_republic	Eastern_Europe
Czechia	Eastern_Europe
Hungary	Eastern_Europe
Moldova	Eastern_Europe
Poland	Eastern_Europe
Romania	Eastern_Europe
Russia	Eastern_Europe
Slovakia	Eastern_Europe
Ukraine	Eastern_Europe
Austria	Western_Europe
Belgium	Western_Europe
France	Western_Europe
Germany	Western_Europe
Liechtenstein	Western_Europe
Luxembourg	Western_Europe
Monaco	Western_Europe
Netherlands	Western_Europe
Switzerland	Western_Europe
Antigua_and_barbuda	Caribbean
Bahamas	Caribbean
Barbados	Caribbean
Cuba	Caribbean
Dominican_republic	Caribbean
Dominica	Caribbean
Grenada	Caribbean
Haiti	Caribbean
Jamaica	Caribbean
Saint_kitts_and_nevis	Caribbean
Saint_lucia	Caribbean
Saint_Vincent_and_the_Grenadines	Caribbean
Trinidad_and_Tobago	Caribbean
Belize	Central_America
Costa_Rica	Central_America
El_Salvador	Central_America
Guatemala	Central_America
Honduras	Central_America
Nicaragua	Central_America
Panama	Central_America
Canada	North_America
Mexico	North_America
USA	North_America
China	Eastern_Asia
Hong_Kong	Eastern_Asia
Hongkong	Eastern_Asia
Taiwan	Eastern_Asia
Japan	Japan_Korea
North_korea	Japan_Korea
South_korea	Japan_Korea
Mongolia	Eastern_Asia
Kazakhstan	Central_Asia
Kyrgyzstan	Central_Asia
Tajikistan	Central_Asia
Turkmenistan	Central_Asia
Uzbekistan	Central_Asia
Afghanistan	Southern_Asia
Bangladesh	Southern_Asia
Bhutan	Southern_Asia
India	Southern_Asia
Iran	Southern_Asia
Maldives	Southern_Asia
Nepal	Southern_Asia
Pakistan	Southern_Asia
Sri_Lanka	Southern_Asia
Brunei	South-Eastern_Asia
Cambodia	South-Eastern_Asia
Indonesia	South-Eastern_Asia
Laos	South-Eastern_Asia
Malaysia	South-Eastern_Asia
Myanmar	South-Eastern_Asia
Philippines	South-Eastern_Asia
Singapore	South-Eastern_Asia
Thailand	South-Eastern_Asia
Timor-leste	South-Eastern_Asia
Vietnam	South-Eastern_Asia
Armenia	Western_Asia
Azerbaijan	Western_Asia
Bahrain	Western_Asia
Cyprus	Western_Asia
Georgia	Western_Asia
Iraq	Western_Asia
Israel	Western_Asia
Jordan	Western_Asia
Kuwait	Western_Asia
Lebanon	Western_Asia
Oman	Western_Asia
Qatar	Western_Asia
Saudi_Arabia	Western_Asia
Syria	Western_Asia
Turkey	Western_Asia
United_Arab_Emirates	Western_Asia
Yemen	Western_Asia
Australia	Oceania
Fiji	Oceania
Kiribati	Oceania
Marshall_Islands	Oceania
Micronesia	Oceania
Nauru	Oceania
New_Zealand	Oceania
Palau	Oceania
Papua_New_Guinea	Oceania
Samoa	Oceania
Solomon_Islands	Oceania
Tonga	Oceania
Tuvalu	Oceania
Vanuatu	Oceania
Argentina	South_America
Bolivia	South_America
Brazil	South_America
Chile	South_America
Colombia	South_America
Ecuador	South_America
Guyana	South_America
Paraguay	South_America
Peru	South_America
Suriname	South_America
Uruguay	South_America
Venezuela	South_America
